---------------------------------------------------------------------------------------------
Output for sample-f.txt
---------------------------------------------------------------------------------------------
('total number of words=', 2978954)
('total number of distinct words=', 45509)
('popular_threshold_word=', 2276.0)
('common_threshold_l_word=', 21616.0)
('common_threshold_u_word=', 23893.0)
('rare_threshold_word=', 43233.0)
---------------------------------------------------------------------------------------------

Popular Words
+----+--------------+---------+
|Rank|          Word|Frequency|
+----+--------------+---------+
|   1|           the|   188287|
|   2|           and|   130181|
|   3|            of|   103093|
|   4|            to|    77016|
|   5|             a|    56396|
|   6|            in|    49973|
|   7|             i|    43808|
|   8|          that|    39671|
|   9|            he|    34717|
|  10|           was|    33858|
|  11|            it|    33321|
|  12|           for|    27986|
|  13|           his|    27364|
|  14|          with|    23512|
|  15|            is|    23058|
|  16|            as|    21226|
|  17|           not|    20855|
|  18|           her|    20682|
|  19|            be|    19965|
|  20|           but|    18972|
|  21|          they|    18479|
|  22|           had|    18003|
|  23|           you|    17356|
|  24|           him|    16370|
|  25|           she|    16258|
|  26|            my|    15829|
|  27|           all|    15254|
|  28|            by|    14644|
|  29|         which|    14565|
|  30|            me|    14266|
|  31|            on|    14263|
|  32|            at|    14249|
|  33|          them|    13775|
|  34|          have|    13245|
|  35|          this|    12953|
|  36|            or|    12189|
|  37|          from|    12114|
|  38|         shall|    11877|
|  39|          said|    11727|
|  40|            so|    10841|
|  41|         their|    10803|
|  42|           one|    10504|
|  43|          were|    10442|
|  44|          when|     9816|
|  45|           are|     9810|
|  46|         there|     9414|
|  47|          unto|     8724|
|  48|            no|     8687|
|  49|            we|     8607|
|  50|            up|     8525|
|  51|           out|     8449|
|  52|            if|     8312|
|  53|          lord|     8198|
|  54|          will|     7894|
|  55|          then|     7889|
|  56|            an|     7355|
|  57|           man|     6571|
|  58|         would|     6553|
|  59|           who|     6391|
|  60|          what|     6362|
|  61|            do|     6200|
|  62|           any|     6050|
|  63|          into|     5799|
|  64|          upon|     5768|
|  65|          thou|     5668|
|  66|           god|     5560|
|  67|          been|     5154|
|  68|         about|     5050|
|  69|           did|     5025|
|  70|          your|     5024|
|  71|          time|     4965|
|  72|         other|     4734|
|  73|           thy|     4732|
|  74|          more|     4708|
|  75|          made|     4697|
|  76|        before|     4669|
|  77|           now|     4663|
|  78|          came|     4656|
|  79|         could|     4627|
|  80|           men|     4549|
|  81|          come|     4377|
|  82|         after|     4297|
|  83|        people|     4273|
|  84|          some|     4235|
|  85|          went|     4172|
|  86|          down|     4120|
|  87|            go|     4043|
|  88|          like|     4004|
|  89|          thee|     4002|
|  90|          over|     3971|
|  91|         house|     3964|
|  92|        little|     3871|
|  93|           two|     3832|
|  94|           may|     3827|
|  95|           see|     3820|
|  96|           day|     3813|
|  97|           our|     3792|
|  98|          than|     3787|
|  99|          very|     3731|
| 100|          good|     3638|
| 101|            ye|     3624|
| 102|         great|     3558|
| 103|         these|     3554|
| 104|            us|     3545|
| 105|        should|     3395|
| 106|         again|     3323|
| 107|          such|     3318|
| 108|          know|     3294|
| 109|          king|     3263|
| 110|         every|     3243|
| 111|          make|     3201|
| 112|           say|     3160|
| 113|           let|     3148|
| 114|          hand|     3138|
| 115|          also|     3130|
| 116|          only|     3098|
| 117|          much|     3095|
| 118|       against|     3073|
| 119|            mr|     3050|
| 120|         never|     3034|
| 121|          well|     3034|
| 122|         first|     3002|
| 123|           how|     2978|
| 124|       because|     2977|
| 125|           way|     2948|
| 126|          away|     2930|
| 127|           can|     2929|
| 128|         where|     2877|
| 129|           has|     2829|
| 130|           son|     2819|
| 131|           own|     2797|
| 132|           old|     2746|
| 133|          many|     2743|
| 134|          hath|     2729|
| 135|         those|     2729|
| 136|          even|     2708|
| 137|      children|     2685|
| 138|        israel|     2649|
| 139|          work|     2631|
| 140|       without|     2603|
| 141|           put|     2581|
| 142|     gutenberg|     2569|
| 143|         being|     2509|
| 144|           got|     2507|
| 145|          take|     2503|
| 146|          give|     2495|
| 147|       project|     2461|
| 148|        things|     2460|
| 149|           off|     2421|
| 150|       another|     2394|
| 151|          must|     2385|
| 152|          life|     2381|
| 153|          took|     2375|
| 154|         right|     2319|
| 155|          long|     2316|
| 156|           yet|     2308|
| 157|         place|     2265|
| 158|          land|     2259|
| 159|            am|     2238|
| 160|     therefore|     2232|
| 161|       himself|     2228|
| 162|           saw|     2182|
| 163|          same|     2159|
| 164|          most|     2145|
| 165|         might|     2134|
| 166|         under|     2104|
| 167|          done|     2094|
| 168|          back|     2084|
| 169|          just|     2071|
| 170|       through|     2050|
| 171|        father|     2019|
| 172|           get|     1999|
| 173|         found|     1981|
| 174|        saying|     1976|
| 175|       nothing|     1970|
| 176|           nor|     1962|
| 177|       thought|     1960|
| 178|          ever|     1959|
| 179|         three|     1957|
| 180|         think|     1954|
| 181|           its|     1931|
| 182|         years|     1910|
| 183|          here|     1881|
| 184|        called|     1880|
| 185|         thing|     1873|
| 186|           set|     1866|
| 187|         power|     1858|
| 188|          both|     1832|
| 189|          name|     1828|
| 190|         woman|     1824|
| 191|         night|     1802|
| 192|          head|     1767|
| 193|           law|     1751|
| 194|         among|     1748|
| 195|          gave|     1746|
| 196|          told|     1743|
| 197|          eyes|     1741|
| 198|          days|     1738|
| 199|         heard|     1704|
| 200|           too|     1700|
| 201|       lincoln|     1696|
| 202|         heart|     1694|
| 203|          whom|     1693|
| 204|           new|     1672|
| 205|         while|     1667|
| 206|         shalt|     1656|
| 207|         young|     1653|
| 208|          face|     1650|
| 209|          tell|     1650|
| 210|        though|     1648|
| 211|          left|     1616|
| 212|        always|     1576|
| 213|            tm|     1568|
| 214|       brought|     1565|
| 215|         still|     1547|
| 216|          side|     1539|
| 217|          part|     1532|
| 218|         words|     1528|
| 219|          city|     1512|
| 220|        mother|     1507|
| 221|         hands|     1504|
| 222|         going|     1488|
| 223|          word|     1478|
| 224|        looked|     1455|
| 225|          last|     1453|
| 226|          room|     1442|
| 227|          full|     1430|
| 228|          home|     1416|
| 229|         given|     1411|
| 230|          look|     1404|
| 231|          thus|     1403|
| 232|         asked|     1388|
| 233|      together|     1384|
| 234|          once|     1374|
| 235|         saith|     1364|
| 236|          sent|     1360|
| 237|         forth|     1356|
| 238|          knew|     1340|
| 239|        behold|     1338|
| 240|         earth|     1332|
| 241|       between|     1309|
| 242|       neither|     1296|
| 243|         began|     1295|
| 244|          till|     1294|
| 245|           end|     1286|
| 246|         world|     1279|
| 247|          says|     1277|
| 248|          soon|     1272|
| 249|          half|     1262|
| 250|           why|     1262|
| 251|          each|     1258|
| 252|            jo|     1254|
| 253|         water|     1245|
| 254|          door|     1244|
| 255|          love|     1238|
| 256|         works|     1228|
| 257|       country|     1225|
| 258|          hear|     1225|
| 259|    themselves|     1225|
| 260|          seen|     1223|
| 261|        seemed|     1222|
| 262|       hundred|     1220|
| 263|             o|     1218|
| 264|           bed|     1218|
| 265|         money|     1216|
| 266|        having|     1216|
| 267|           use|     1208|
| 268|           mrs|     1204|
| 269|         stood|     1188|
| 270|          keep|     1160|
| 271|          mind|     1158|
| 272|           few|     1156|
| 273|          sons|     1152|
| 274|        better|     1141|
| 275|        myself|     1123|
| 276|            oh|     1123|
| 277|           far|     1120|
| 278|          fire|     1118|
| 279|           war|     1111|
| 280|        others|     1110|
| 281|        turned|     1110|
| 282|         until|     1110|
| 283|         taken|     1109|
| 284|         whole|     1109|
| 285|          felt|     1103|
| 286|         round|     1099|
| 287|         voice|     1091|
| 288|         david|     1089|
| 289|          five|     1087|
| 290|          hast|     1079|
| 291|         moses|     1074|
